id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,SynthWave Legion,synthwave,focused,0.68,105,0.58,0.71,0.08
12,Rainfall Meditation,Nature Sounds,ambient,chill,0.15,50,0.72,0.22,0.98
13,Break Dance,DJ Pulse,edm,intense,0.94,128,0.83,0.95,0.02
14,Acoustic Sunrise,Folk Whisper,folk,happy,0.45,95,0.79,0.35,0.94
15,Melancholy Piano,Slow Keys,classical,moody,0.32,65,0.42,0.15,0.97
16,Urban Jungle,Hip Hop Kings,hip-hop,intense,0.87,94,0.65,0.82,0.12
17,Summer Vibes,Tropical Beat,reggae,happy,0.72,96,0.88,0.71,0.41
18,Dark Electronica,Void Sounds,edm,moody,0.79,115,0.35,0.68,0.05
19,Wandering Soul,Indie Folk,indie pop,relaxed,0.50,88,0.74,0.50,0.78
20,Wake Up Energy,Power Hour,pop,happy,0.89,125,0.85,0.81,0.08
